,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-1.13757,-3.4381561,-4.3517613,-0.7275446,0.3025641,-0.98782307,-2.3674395,-1.6434171,0.111458085,-0.30712688,-2.0384052,0.656207,-1.6556238,-6.5193586,-3.2988634,-0.3954066,-4.3916235,0.010949976,-1.9660393,-2.3140647,-8.536682,-3.7296987,-3.7297919,-3.912704,-3.760091,-5.9668293,-0.69419926,-3.1477895,-4.6901603,-2.856901,-3.1095045,7.668386,-1.8610673,-4.3918157,-0.33048356,-1.6818846,-0.41334808,8.401402,-0.08784291,-2.3539217,7.132816,-1.17682,8.556659,5.358907,-1.8446585,-4.0119886,-1.323051,-5.505784,-3.2491422,-2.470174,-0.7203104,-4.113207,-0.86626285,-0.9847999,-3.8416624,-1.3247589,-4.114058,-2.5271363,-2.571179,-4.0514526,-4.9843903,-0.9286568,-6.3565216,-0.7491134,-2.1364431,-2.0866182,-2.3213918,-2.2340074,0.9032189,-0.72107553,0.15288803,1.7226651,-0.6534925,-3.6208107,-1.1050092,5.497333,2.3113663,-1.032349,-1.0308964,-2.2519326,5.6125846,-0.35421813,-1.7207648,-0.42112365,-3.3737674,-0.18221043,-3.0358036,-2.4736316,1.1832421,-0.20528556,-1.936119,-0.33575115,-3.9255474,-6.427835,-2.7643049,-1.9369148,-1.4516225,-0.62753534,-7.588309,0.48136863,-1.7386526,-0.6812555,2.3748589,2.71579,-0.8564482,2.0034876,-2.864496,0.005184745,-3.0878842,-7.161691,-4.4769897,-4.4760404,-2.664189,-4.654022,0.28918186,-3.5659022,-4.704322,-1.8757112,-0.3847458,-0.33059266,-0.6607218,-2.9576578,-4.0976853,-4.087956,-4.5731215,-2.4043326,-1.8465313,-3.5004597
1,-1.45352,-2.0401359,-5.129531,-5.048552,0.052684113,-2.355899,-5.6584263,-1.4927552,-8.664859,-3.3276637,-2.26207,-1.2894125,-8.316717,-7.064116,-2.213816,-4.6657586,-2.244434,-6.2932134,-5.1653285,-0.77036613,-10.547853,-4.6758747,-0.72025365,-3.0998957,-3.2176197,-4.0725627,-2.5033476,-5.3879385,-3.6044922,-3.942088,-7.0573306,-1.7091283,-2.103827,-3.6586409,-1.030827,-2.3603582,-4.867352,-0.9258351,-4.0334744,-6.8034463,-8.606962,-2.3989484,-0.7397343,-6.245602,-3.7158725,-1.0967456,-0.24059859,-3.0644515,-3.3542097,-4.2437553,-7.1498365,-1.9219956,-3.8064554,-4.2451835,-4.58114,-8.642509,-1.2143508,-3.3839102,-6.0363207,-3.4192188,-4.472885,-8.541034,1.7171403,-1.0320629,-2.3396928,-4.212769,1.8923609,-4.717859,-5.026908,-7.8974466,-4.809909,-4.948643,-3.3934078,-3.5553918,-6.2878666,-3.196349,-3.4788349,-5.2160196,-3.9838247,-3.2830136,-6.3180413,0.24101874,-0.70367,-5.4062862,-3.8240952,-4.6042485,0.81442523,-8.753527,-9.145167,-10.260934,-6.201357,-3.4891977,-1.7832928,-2.0629241,-8.194932,-6.3663063,-6.287189,-2.672094,-8.253858,-3.6399567,-4.4083757,-7.2734995,-2.9554803,-7.4478493,-3.7298794,-4.2454934,-4.909834,-1.6413064,-6.120205,-2.5741632,-0.3238138,-8.093124,-1.7054775,-3.7547796,-5.2782636,-3.6251411,-2.7020535,-4.8039627,-4.217454,-5.2999406,-2.0557673,-4.1569285,-4.9840403,-2.8879762,-2.6786537,-1.6618233,-2.249768,-4.0201654
2,-3.7134926,-4.467143,-3.4689305,-1.4274781,-2.429706,3.391395,-5.552277,0.7152944,-1.9609394,-4.5604053,-2.661477,2.736111,-2.6730967,-0.6601839,-5.0554028,3.8228784,-2.2895346,3.7778752,-1.8735929,-5.374943,-4.7563143,3.2825222,-1.5897319,-10.226992,-3.050296,2.5322075,-1.4100039,-3.520303,1.6486351,-1.5741146,-3.71158,-3.7941606,-3.2230668,0.009603923,1.1424844,0.7465235,-1.9188863,-7.357362,-3.099384,-0.04206948,-6.6901073,5.3959293,-4.896244,0.15902156,-4.2822175,-0.9553962,-0.9944303,-4.3430867,-2.0102122,-5.742543,0.46399316,1.3394904,-1.6356808,-3.3375075,-0.96922755,-1.1698213,-4.0986075,-4.8082967,-0.49745935,-2.4312093,-1.8942543,-2.5984323,-4.1468573,-5.0169663,-5.918316,-3.4884233,-2.7070072,-4.670942,-1.9728246,-4.476718,7.4334345,-4.359938,-5.8107424,-3.7601306,-6.132249,-4.121295,-4.19859,-3.0248964,-3.2516816,-4.1525974,3.5457978,-1.3632027,-0.8117978,0.25131103,-2.1980689,4.871204,2.7779925,-4.969664,-0.5850761,-4.2882805,-4.806868,-2.623633,-1.7833419,-0.43228316,-4.6693296,-2.435471,-4.3543234,3.1138453,-0.94248885,-4.545052,-2.4535017,-4.162618,1.7364542,-0.49543524,-3.8570483,3.2648993,-5.0206633,3.249425,-4.3567095,-2.5415766,-4.7136025,-1.1924785,-4.410492,0.46569327,-4.100126,-3.4516468,-0.76739377,-2.7960606,3.863781,-6.1961966,-3.6779826,0.23234744,-6.1970496,-2.5221448,5.070379,-1.5999092,1.374551,-3.3654506
3,3.1982548,-1.9371469,-3.7888072,-0.28398785,-0.0035402013,-0.113838956,-4.293768,-2.426222,-4.3944283,-2.084374,-1.5232717,-1.4823197,-4.4172683,-2.6472785,-0.6973743,5.447015,2.0267525,0.2747822,-1.8969319,1.4565697,-5.743782,2.1956677,3.7189243,-6.935724,-3.6946547,-1.5755385,-0.6387825,-6.1971703,-1.4923398,-4.419445,-3.3872666,-1.657761,4.798068,-0.8955074,1.9485699,2.6983202,-3.16734,5.7781115,-2.721227,-1.9515561,-4.480098,0.921502,-2.0714924,-3.2055328,-2.7615573,-3.060352,6.4350863,-2.2856648,-2.5841959,-4.0178313,-3.157364,1.869164,-1.2225835,-3.5586014,-2.7266097,-2.7938516,-2.7331564,-4.0138917,-4.495676,-3.1513615,-3.088726,-4.3556085,2.1083748,-0.22497307,0.56621176,-3.8297014,-0.65539134,-2.9178917,0.19991009,-4.0402746,-2.1665776,-3.147317,3.4356022,-6.4574094,-1.8893701,-3.6850462,-3.1748967,-3.6453445,-1.0454383,-0.9612243,-0.936707,-2.4263415,6.118957,-1.290009,-2.6307368,-2.160377,3.3485649,-5.593959,-4.416844,-5.189577,1.0715436,-1.990785,-1.0736897,-0.33768225,-2.6812768,-4.2053695,-3.4901545,-1.5773548,-4.5024657,-2.5675943,-2.5199797,-3.303378,-0.22084804,-2.9511778,3.5603714,-1.0846027,-3.1810484,3.6328654,-4.5632753,-3.0666049,-0.9055979,-4.769591,-3.2343762,-3.826771,-2.8291094,-3.5455065,-0.4491597,-4.0805135,-1.6882149,-2.8471122,-3.7587698,-0.1931936,-3.8779778,4.5131674,1.9765909,1.1889998,1.7386248,-2.1660001
4,-1.9336145,-3.9594674,-5.8422594,4.012958,1.6636417,1.855982,-4.2431164,-1.4548545,-0.11538375,-6.3639402,-4.7998104,-2.8784392,0.82916063,-7.1993046,-4.2525144,-3.9227254,-2.5773094,-0.5997291,-2.9849443,-4.727723,-6.330889,2.041929,-5.4126353,-4.7908235,-2.0839636,1.1764015,0.0045269905,-2.8232877,-3.829858,-3.5922291,-4.6838207,-2.4113407,-5.154033,-2.486647,-1.0346476,0.40443376,-0.6014291,-5.252007,-3.542041,-0.3938456,-8.233742,-1.3781841,-0.65277016,1.2738352,-2.618039,-3.7039244,-1.8531568,-6.9353256,-4.406658,-3.771478,-7.1907015,-2.8202884,-3.4620278,-3.4897377,-7.393506,-6.3245893,-5.2160525,-5.4954596,-1.5647081,-3.9995327,-4.4050713,-3.784226,-3.2413938,-0.052457526,-3.77972,-1.0539751,-2.1436994,-5.340433,4.1464763,-6.584856,-0.49692613,-4.9080567,-4.919566,-3.8221805,-3.356655,-4.1814504,-1.3105452,-2.8234997,-1.8434497,-3.8213787,-0.08672485,-2.6521273,-1.8496648,-0.18917695,-2.2544608,-1.0016952,-0.778852,-3.4147773,-0.769488,-3.596282,5.1404395,-4.3546143,-5.7031116,-2.9899526,-6.309009,-3.205006,-4.6490755,1.1531852,-5.153455,-5.004595,-8.205983,-1.5988051,2.9874074,-5.129405,-5.0816026,-0.07679926,-7.117708,-1.071531,-5.2671576,-1.9289641,-4.684817,-2.0320492,-4.274879,-1.0204841,-0.4440232,-2.6462028,-3.3285434,-3.6774821,-3.549291,-7.5402637,-3.6042817,-3.1292934,-4.6059294,-2.6915762,-4.791334,-2.8462758,-3.058341,-2.8819714
5,-5.333354,-2.4703696,-4.0300937,-11.658204,-4.460337,-4.0033946,-13.721136,-3.5477002,-1.2309899,-1.9013653,-5.849509,-10.071476,-4.614144,-9.897498,7.246,-13.4778185,-4.5380774,-4.8161726,-5.799909,-7.469594,-5.9414816,-4.040555,-4.0351872,-8.014382,-16.2948,-7.568898,-5.403359,-6.8117933,-15.554237,-10.091049,-3.4917927,-5.4537745,-3.8162851,-5.696418,2.624994,1.1547062,-6.4887295,-3.366722,-12.466201,-9.672651,-20.774069,-11.392699,-6.7788725,-23.297266,-9.403795,-7.219807,-4.9445434,-7.736904,-0.9025027,-6.425849,-12.0580635,-4.175383,-2.4711854,-3.265919,-18.448704,-7.008768,-7.1005106,-7.20593,-3.8108544,-9.359209,-11.538515,-14.499196,-9.820279,-2.3544986,2.6428285,-10.310344,-0.64067984,-5.1754603,-0.9043694,-6.754085,-21.444979,-12.469896,-2.2083192,-3.3467276,-8.065508,-5.3596306,3.4360201,-8.721181,-5.875968,-5.5704656,-25.29918,-7.370285,-4.986266,-12.206583,-5.6344514,-20.672695,-2.8837678,-3.9521961,-5.3991246,-6.504903,-0.34890333,-2.649383,-8.901254,-3.8415525,-4.134071,-6.3829927,-6.2992077,-6.4255176,-11.531888,-2.3673854,-5.490264,-6.431579,-11.98566,-16.820694,-4.3861074,-1.4362105,-4.2107887,-8.550637,-7.277414,-4.811167,-11.75607,-8.3747635,-11.226103,-4.7825375,-4.004626,-9.400438,-4.419984,-4.4400353,-21.923288,-6.000904,-1.4236883,-10.6041765,-1.6595706,-9.870226,-11.36839,-5.654076,-2.7481582,-6.80669
6,-2.144522,-4.951401,-5.3888474,1.1101058,1.6708508,0.4687307,-3.5500119,0.5260918,-0.092434295,-6.0151505,-7.984866,-3.406934,1.2381067,-0.27822673,-11.331889,-3.5360963,-4.183917,-2.0822446,0.44578317,-3.2097974,0.304633,1.3823638,-7.59185,-1.1080464,-4.4207864,0.82923806,-0.9095589,0.84904194,-3.0144382,0.7225687,-2.5426004,-9.35902,-5.3204427,0.3216048,0.28907332,0.52746797,-4.6666703,-10.223189,-4.0551915,2.247812,-9.01762,-4.0876255,-7.8500023,1.9783077,-3.8859694,0.9951162,-6.808152,-8.381529,-2.3009152,-2.551895,-8.506989,-3.0482073,-4.6566744,-4.034922,-7.575199,-6.5944633,-6.904416,-6.390078,1.5015312,-3.457669,-5.4434276,-3.573769,1.5537825,1.5378444,0.70744646,-2.0004418,-2.8037086,-8.71411,1.2351475,-6.0427904,-4.6357903,-4.2304864,-4.1581974,-6.797257,-3.56159,-7.471018,-1.7247384,-4.6131396,-0.38748333,-2.220529,-0.29618233,-2.4680514,-6.5290313,2.3621933,0.5516171,-2.7459683,0.4890152,-2.4926338,3.2058566,-6.0578012,-0.6216259,-4.3449664,-4.4051466,0.3541292,-4.5922008,2.049334,-6.778294,-0.9071047,0.6872241,-4.4620304,-7.7277145,1.0515856,2.9882739,-3.911939,-5.707135,2.4184842,-5.469994,2.4429467,1.4780233,0.49006662,-0.69476205,1.4330049,-4.84338,1.2383727,-1.1368793,0.38447905,0.026673475,-3.6171424,-4.4759107,-5.348651,-4.462427,-2.5644321,-4.9618134,-4.4433875,-3.9455042,-2.244558,-2.113779,-0.89610565
7,-4.46215,-5.7858095,-1.7295283,-0.19720289,-3.331197,1.0034206,-4.1175194,0.5102416,-2.158869,-3.871317,-2.6528466,2.1444485,1.6410844,2.3257585,-6.48489,2.9853415,-3.61429,1.7380219,1.2743438,-3.9707525,0.58100164,1.589549,-3.1423893,-8.737884,-4.550426,1.0388352,-1.9238175,0.33991963,1.1172487,0.53087395,-2.6522942,-5.956062,-2.7519228,0.26681787,1.0179822,0.18144009,-2.931656,-6.8694773,-1.9707515,2.548654,-2.6314106,2.3426363,-7.9341297,2.8148603,-4.1134515,-1.3018512,-3.7294893,-4.5335298,0.40762833,-5.150905,1.9251624,1.2883863,-3.146853,-3.0531945,-1.2595719,1.0817587,-4.4471555,-3.0579243,1.5767835,-3.272337,-1.087344,-0.8678546,-4.8520937,-5.2315373,-3.7439246,-3.538301,-4.341275,-4.7716694,-2.7732277,-2.3026323,3.0979116,-1.4961536,-5.5982666,-3.4785662,-6.6972713,-4.5925527,-3.1629374,-1.3632486,-3.5653996,-1.5470814,1.5343542,-2.990923,-4.1670203,-0.6388379,-0.899496,3.0862124,2.164338,-4.150179,2.315131,-2.9531314,-4.764706,-3.3828394,-2.0795085,0.118205,-3.6486406,0.5270681,-3.687432,1.3531941,2.925501,-4.5687823,-1.2995993,-2.9360309,2.2412167,2.0926535,-4.089737,1.516649,-3.9086716,2.6978905,-2.264795,-2.809611,-3.0383656,1.7531022,-4.172545,0.03999188,-4.769308,-3.3849683,-0.5499534,-0.58894044,2.7065926,-4.377916,-3.5829427,-0.43584365,-6.90508,-4.126501,2.8631165,-2.7442849,0.004773583,-4.8068666
8,-1.6904873,-3.752426,-2.6546144,1.287465,0.5294465,-0.58890206,-5.2963753,-0.34656605,1.7671353,2.8341458,-3.9799652,-0.1662349,0.9550495,1.5392127,-5.66909,-0.5489267,-3.755661,0.40902823,-0.49910012,-4.0002594,9.536647,1.4177115,-4.978184,-2.7241218,-3.9406173,0.3683301,-3.1890993,0.95155525,-1.686594,1.0798944,0.7359424,-15.196244,-3.7596192,-0.087429695,0.5251057,1.6145072,-2.7146423,-16.06484,-2.5277393,0.3895499,-13.736874,-1.0537249,-16.348183,-6.145877,-1.3712301,-0.19584055,-5.715334,-4.5768976,0.7848442,-1.721329,-2.4456875,-2.2226794,-0.6181093,-0.2762329,-2.1446433,-5.117649,-3.499752,-1.9776587,2.1641922,-3.3427913,-3.7567778,-3.5785668,-0.06391324,-1.0264397,-0.9256667,-2.5861647,-3.152077,-6.529549,-2.6111162,-5.9505053,-1.9940182,-3.6710708,-4.2525225,-3.1598883,-2.4169984,-11.559756,-0.14874242,-3.370191,-1.9300582,1.2809087,-4.5506716,-1.6298226,-3.6705103,-2.6319706,1.1046716,-1.145542,1.2604517,-0.116651624,2.376633,0.08766979,0.26057866,-1.0095,-4.6092877,4.137065,-1.9652834,0.48708072,-4.7174993,0.46867013,2.2362146,0.31216565,-1.7805036,0.5363761,-2.9283652,-0.6209011,-4.413679,1.6842116,-1.6877002,-2.805789,0.7637661,2.751813,-1.9457024,3.0374954,-2.7240386,4.9408283,-0.99999017,0.85292256,0.09835795,-3.043797,-3.257659,-1.28506,-2.4509327,-1.6479713,-5.032062,-3.9531958,-0.9039586,-0.743049,-3.171627,1.5868326
9,-3.350221,-5.3482695,-1.6868333,-0.19048406,-3.2056866,1.3367653,-4.7773485,1.1617284,-2.3312316,-3.9870603,-2.8197598,2.1256413,0.71766436,1.8630458,-5.570061,3.0113304,-3.4409842,0.91789,0.8254987,-3.6150882,0.33842555,2.4085436,-2.7428677,-7.8982687,-4.9511385,2.35171,-1.9792066,0.70479226,0.88560015,0.6463388,-2.833149,-5.2438574,-2.4338505,0.6514934,1.4943591,1.2482101,-3.2064738,-5.8196054,-1.9852748,1.4432507,-2.288402,2.622394,-6.4787,2.6267734,-4.576731,0.1351517,-3.1712048,-4.5017905,0.27845392,-4.5173163,1.3530195,1.2225528,-2.938809,-2.878446,-1.3003677,0.42662933,-3.7503798,-2.8589184,0.60327005,-3.1739357,-1.5798621,-1.3693655,-4.675567,-4.8755097,-3.8926594,-3.582655,-3.6922681,-5.1192865,-2.5367045,-2.4025607,3.116493,-1.5927966,-5.273371,-3.7474608,-6.249773,-3.9044461,-3.4191399,-1.5676826,-3.7124834,-1.9756103,2.7993784,-1.9546741,-3.6951776,-1.3941512,-0.7568014,2.2089982,2.4973547,-4.553366,1.3341734,-3.094339,-4.8660583,-3.082328,-1.9069145,1.121752,-3.874989,0.014114943,-3.7678103,1.8200511,0.9191267,-4.9522715,-1.1518633,-4.1373434,1.4205474,1.4376918,-3.469378,1.6791717,-4.164012,1.9989996,-1.9540673,-2.3304353,-2.8107142,0.76040405,-4.2965775,0.62572193,-4.502908,-3.7805042,0.81166077,-1.4284712,1.8076999,-4.149058,-3.7853198,-0.34479293,-7.243554,-3.6940508,2.7320204,-2.2754645,-0.10786059,-4.1636033
